id,host_is_superhost,host_total_listings_count,accommodates,number_of_reviews
44077,t,2,2,258
85156,t,2,2,210
159889,f,4,1,355
162809,t,2,6,326
165828,f,5,5,64
165829,f,5,5,76
178860,f,3,2,313
181823,f,6,1,50
237465,f,5,2,392
245903,t,2,1,43
292757,t,1,9,362
302554,f,8,5,59
302634,f,8,2,105
374792,f,5,4,35
386860,f,2,4,92
393631,f,3,6,72
419987,f,8,6,145
424596,t,5,3,519
426326,f,4,3,254
427077,t,5,3,498
427495,f,4,2,176
449556,f,4,4,271
454183,t,4,3,93
468082,t,3,5,296
497136,f,6,2,113
522667,t,5,3,430
526767,t,4,3,568
575339,f,1,2,0
587218,t,2,2,220
592840,t,3,1,42
610233,f,2,4,61
637185,f,1,2,158
641880,f,2,2,46
654589,t,3,4,538
690119,f,4,4,216
726011,t,1,3,164
726075,t,12,5,3
736751,f,6,2,74
736827,f,43,4,7
742656,f,2,2,368
743771,f,2,1,0
743772,f,2,2,5
747284,f,1,4,38
871174,t,6,3,244
872539,t,3,4,120
922425,f,3,4,131
928970,f,2,4,37
929816,f,2,2,161
939866,f,2,4,156
946923,f,43,2,11
990212,f,1,6,38
990300,f,1,3,204
998407,f,5,2,254
999963,t,3,2,10
1073487,f,1,1,72
1076634,f,1,2,50
1086416,f,1,2,240
1173029,t,4,4,329
1184087,f,9,9,18
1207950,f,2,8,72
1255270,t,4,1,10
1270261,f,1,6,9
1276002,f,1,5,70
1296492,f,1,2,54
1341478,t,4,3,138
1364560,f,2,2,140
1407832,f,1,8,63
1411019,f,5,2,237
1421993,f,3,2,56
1447994,f,1,2,3
1466234,f,1,1,141
1488124,f,7,2,119
1501767,t,7,2,61
1518845,f,2,1,58
1520036,f,2,4,51
1556554,t,2,5,19
1559929,t,3,1,60
1582908,f,3,1,64
1600779,t,3,2,73
1717912,f,4,2,309
1729959,f,2,6,4
1771007,f,2,2,0
1789253,f,1,4,0
1797712,f,3,2,67
1804494,f,5,3,107
1896821,f,2,4,18
1906221,t,4,2,512
1929739,t,4,4,82
1943366,f,8,6,133
1963074,f,2,2,616
2026810,f,3,1,292
2069629,f,2,2,64
2084913,f,2,2,48
2121887,f,3,4,7
2162973,f,2,2,58
2164444,f,2,2,477
2165074,f,3,4,121
2202076,f,1,6,0
2215722,f,3,2,0
2283713,f,2,2,321
2295609,f,1,9,0
2355991,t,1,5,56
2372993,f,4,4,171
2385640,f,1,10,1
2394893,f,3,2,243
2415104,t,7,6,253
2427857,f,3,2,249
2466169,t,3,2,213
2471794,f,1,2,114
2481147,f,41,7,27
2489550,t,30,2,451
2514537,f,1,5,2
2538861,f,1,1,0
2574203,t,1,1,371
2607040,f,1,2,56
2610590,f,3,6,2
2614726,f,4,2,6
2620389,f,2,1,6
2635493,f,1,4,1
2642164,f,1,2,39
2647405,f,1,2,70
2671586,f,3,5,1
2685349,f,2,8,106
2686112,f,1,2,72
2691951,t,1,4,69
2703497,f,2,5,2
2719863,f,1,2,3
2734096,f,5,1,23
2754860,f,2,15,7
2760521,f,43,2,6
2770813,t,4,3,102
2778697,t,4,2,115
2791857,f,3,2,249
2795703,f,1,4,49
2832333,t,2,6,183
2842414,f,1,5,6
2842486,f,2,3,139
2850155,f,2,4,1
2862881,t,7,4,34
2873250,f,2,2,6
2874272,f,8,2,144
2884501,f,2,6,0
2885736,f,2,8,6
2891101,f,2,1,109
2903645,f,3,1,27
2923471,f,2,1,55
2962455,f,1,1,0
2985355,f,2,5,47
3009793,f,5,2,31
3012532,t,5,6,128
3026802,t,4,1,11
3031518,t,4,2,66
